ID,Name,Description,Concepticon_ID,glosses,count_datasets,count_variables
100,FAITHFUL,Steadfast in affection.,100,"{""english"": [""faithful""], ""french"": [""fid\u00e8le""], ""portuguese"": [""leal""], ""russian"": [""\u043f\u0440\u0435\u0434\u0430\u043d\u043d\u044b\u0439, \u0432\u0435\u0440\u043d\u044b\u0439""], ""spanish"": [""fiel""]}",40,251
1000,ANXIETY,"An unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath.",1000,"{""english"": [""anxiety"", ""anxiety, worry"", ""the anxiety"", ""worry""], ""french"": [""anxi\u00e9t\u00e9""], ""portuguese"": [""ansiedade, preocupa\u00e7\u00e3o""], ""russian"": [""\u0442\u0440\u0435\u0432\u043e\u0433\u0430""], ""spanish"": [""ansiedad, angustia""]}",39,268
1002,STATUE,"A three-dimension work of art, usually of a person or animal, usually created by sculpting, carving, moulding, or casting.",1002,"{""english"": [""statue"", ""statute"", ""the statue""], ""french"": [""statue""], ""portuguese"": [""est\u00e1tua""], ""russian"": [""\u0441\u0442\u0430\u0442\u0443\u044f""], ""spanish"": [""estatua""], ""chinese"": [""\u96d5\u50cf""]}",50,307
1003,PERMIT,To give permission to an action.,1003,"{""english"": [""allow"", ""let (s.o. do s.th.)"", ""permit"", ""permit / allow"", ""to permit""], ""chinese"": [""\u5141\u8bb8"", ""\u51c6\u8bb8""], ""french"": [""permettre""], ""russian"": [""\u0440\u0430\u0437\u0440\u0435\u0448\u0430\u0442\u044c""], ""spanish"": [""permitir""], ""german"": [""erlauben""]}",44,261
1004,MUSCLE,An organ formed by contractile tissue that moves other organs.,1004,"{""english"": [""flesh / muscle"", ""muscle""], ""chinese"": [""\u808c\u8089""], ""french"": [""muscle""], ""spanish"": [""m\u00fasculo""], ""russian"": [""\u043c\u0443\u0441\u043a\u0443\u043b""]}",43,254
1005,TWINS,A case of multiple birth in which the mother gives birth to two offspring from the same pregnancy.,1005,"{""english"": [""the twins"", ""twin"", ""twins""], ""chinese"": [""\u96d9\u80de\u80ce""], ""french"": [""jumeau"", ""jumeau (x)"", ""jumeaux""], ""portuguese"": [""g\u00eameos""], ""russian"": [""\u0431\u043b\u0438\u0437\u043d\u0435\u0446\u044b""], ""spanish"": [""gemelos""], ""german"": [""zwilling""]}",37,210
1006,BRICK,"A building material usually made from clay, molded as a rectangular block, and baked or burned in a kiln.",1006,"{""chinese"": [""\u7816""], ""english"": [""brick"", ""brick (n.)"", ""the brick""], ""french"": [""brique""], ""portuguese"": [""tijolo""], ""russian"": [""\u043a\u0438\u0440\u043f\u0438\u0447""], ""spanish"": [""ladrillo""]}",50,277
1008,BULL,Male bovine animal.,1008,"{""english"": [""bull"", ""the bull""], ""chinese"": [""\u516c\u725b""], ""german"": [""bulle"", ""och\u00dfe"", ""stier""], ""russian"": [""\u0431\u044b\u043a"", ""\u0431\u044b\u043a\u044a""], ""french"": [""boeuf"", ""le b\u0153uf"", ""taureau"", ""taureau (bison)""], ""portuguese"": [""touro""], ""spanish"": [""toro""]}",61,370
101,BOAST,To show off.,101,"{""english"": [""boast"", ""boast, brag"", ""boast, brag, praise oneself"", ""brag"", ""to boast""], ""german"": [""prahlen""], ""russian"": [""\u0445\u0432\u0430\u0441\u0442\u0430\u0442\u044c\u0441\u044f""], ""chinese"": [""\u5439\u725b""], ""french"": [""se vanter""], ""portuguese"": [""jactar-se, gabar-se""], ""spanish"": [""jactarse""]}",36,206
1011,BRIDGE,"A structure that spans and provides a passage over a road, railway, river, or some other obstacle.",1011,"{""english"": [""bridge"", ""bridge (vine)"", ""the bridge""], ""chinese"": [""\u6865"", ""\u6865 ((*\u7684)~)"", ""\u6a4b""], ""german"": [""br\u00fccke""], ""russian"": [""\u043c\u043e\u0441\u0442""], ""french"": [""le pont"", ""pont"", ""pont ""], ""portuguese"": [""ponte""], ""spanish"": [""puente""]}",58,356
1017,APPEARANCE,The outward or visible aspect of a person or thing.,1017,"{""english"": [""appearance"", ""appearance; look (sb.); sight"", ""look"", ""look (n.)"", ""shape / appearance""], ""chinese"": [""\u5bb9\u8c8c"", ""\u6837\u5b50""], ""french"": [""aspect""]}",33,209
1018,MEMORY,The ability of an organism to record information combined with the facility of recall.,1018,"{""english"": [""memory""], ""german"": [""ged\u00e4chtnis""], ""russian"": [""\u043f\u0430\u043c\u044f\u0442\u044c""], ""spanish"": [""memoria"", ""recuerdo""], ""french"": [""m\u00e9moire""]}",36,218
