ID,Dataset_ID,Language_ID,Name,Note,Other,Source,Category,Structure,Rating,Tag,Datatype,valueUrl
Bond-2013-OMW-IN_DEGREE,Bond-2013-OMW,eng,,The number of hypernyms of a given concept.,in degree,,relations,cardinality,user,hyperonym,"""nonNegativeInteger""",
Bond-2013-OMW-OUT_DEGREE,Bond-2013-OMW,eng,,The number of hyponyms of a given concept.,out degree,,relations,cardinality,user,hyponym,"""nonNegativeInteger""",
Alonso-2015-AoA-SPANISH_AOA_MEAN,Alonso-2015-AoA,spa,,Average score of AoA ratings on a scale from 1 to 11.,,,ratings,mean,user,AoA,"{""base"": ""decimal"", ""minimum"": ""1"", ""maximum"": ""11""}",
Alonso-2015-AoA-SPANISH_AOA_MIN,Alonso-2015-AoA,spa,,The minimum age of acquisition indicated by participants.,minimum,,ratings,numeric,user,AoA,"""nonNegativeInteger""",
Alonso-2015-AoA-SPANISH_AOA_MAX,Alonso-2015-AoA,spa,,The maximum age of acquisition indicated by participants.,maximum,,ratings,numeric,user,AoA,"""nonNegativeInteger""",
Brysbaert-2009-Frequency-ENGLISH_FREQUENCY,Brysbaert-2009-Frequency,eng,,"The number of times the word appears in the corpus (i.e., on the total of 51 million words).",,,norms,tokens,corpus,frequency,"{""base"": ""nonNegativeInteger"", ""maximum"": ""51000000""}",
Brysbaert-2009-Frequency-ENGLISH_CD,Brysbaert-2009-Frequency,eng,,"The number of films in which the word appears (i.e., it has a maximum value of 8,388).",,,norms,tokens,corpus,contextual diversity,"{""base"": ""nonNegativeInteger"", ""maximum"": ""8388""}",
Brysbaert-2009-Frequency-ENGLISH_FREQUENCY_PM,Brysbaert-2009-Frequency,eng,,"The word frequency per million words. It is the measure one would preferably use in ones manuscripts, because it is a standard measure of word frequency independent of the corpus size. It is given with two-digit precision, in order not to lose precision of the frequency counts.",per million,,norms,numeric,corpus,frequency,"{""base"": ""decimal"", ""minimum"": ""0"", ""maximum"": ""1000000""}",
Brysbaert-2009-Frequency-ENGLISH_SUBTITLE_CD,Brysbaert-2009-Frequency,eng,,This  indicates in what percentage of the films the word appears.,subtitle,,norms,numeric,corpus,contextual diversity,"{""base"": ""decimal"", ""minimum"": ""0"", ""maximum"": ""100""}",
Brysbaert-2009-Frequency-ENGLISH_FREQUENCY_LOG,Brysbaert-2009-Frequency,eng,,"This value is based on log10(FREQcount+1) and has four-digit precision. Calculating the log frequency on the raw frequencies is the most straightforward transformation, because it allows one to give words that are not in the corpus a value of 0. One can easily lose 5% of the variance explained by taking log(frequency per million # 1), because, in this case, one is not making much of a distinction between words with low frequencies. Similarly, adding values lower than 1 (e.g., #1E#10) is dangerous, because one may end up with a big gap between the words in oneÕs corpus and words for which one does not have a frequency measure (which will get a log value of #10). In addition, if one uses log(frequency per million), one will have negative values for words with a frequency lower than 1 per million, and one will have to enter negative values for missing words. The downside of using log10(FREQcount # 1) is that there is no intuitive relationship between Lg10WF and SUBTLWF (frequency per million).",,,norms,logarithmic,corpus,frequency,"""decimal""",
